"scenario","model","rep","pfpr_2_10","clin_0_5","sev_0_5","clin_all","sev_all","eir_realised"
"eir_3","blink",0,0.236705709727056,0.423095109202276,20.9768071494549,0.38558998256693,6.51590230676956,3.00264782263055
"eir_10","blink",0,0.428173824623226,1.04536498370365,33.5027177757147,0.585183915121223,8.38260277179904,10.0118686455381
"eir_20","blink",0,0.548322175118101,1.54902299832573,38.4169444295914,0.68336751888192,9.03276231443096,20.0336552978636
"eir_50","blink",0,0.68643879089381,2.30837513158646,40.6756558020943,0.77236620636494,9.15015313634318,50.1334030310881
"eir_120","blink",0,0.785513760999449,2.86044886409989,37.7492122991744,0.811031480453725,8.40237070871638,120.415150618318
"seasonal","blink",0,0.490188225882409,1.5539975963758,41.5031171117205,0.717484678753182,9.81245319130753,18.6736575290112
"nets","blink",0,0.500749709824297,1.54338840974669,45.3947920571392,0.742208681788036,11.0719377374753,15.7620199397073
"irs","blink",0,0.397761004503931,1.63125050920994,58.5348049795466,0.82984646041396,14.561603737451,14.9684032403208
"smc","blink",0,0.234257458512636,0.543345677315192,21.2658276534703,0.487149861496825,5.74058889696832,11.8672547024206
"pev","blink",0,0.524117708583459,1.26720067849497,33.7161862191795,0.621819940966039,8.04930037839515,19.8134670480185
"treatment","blink",0,0.391576521698584,1.47542461165893,37.8303772955303,0.657531403394137,8.9099177640051,18.6672798379086
"demography","blink",0,0.487590647182009,1.26749341207945,34.9873039192024,0.393126032273128,3.7589730763207,13.8452723653763
