"doy","pfpr","model"
27,0.547433391541257,"ODE"
28,0.544666328466297,"ODE"
29,0.541907670556798,"ODE"
30,0.539157935123023,"ODE"
31,0.536417587929437,"ODE"
32,0.53368704721683,"ODE"
33,0.530966687483154,"ODE"
34,0.528256843027349,"ODE"
35,0.525557811262026,"ODE"
36,0.522869855802389,"ODE"
37,0.520193209339777,"ODE"
38,0.517528076308927,"ODE"
39,0.514874635358797,"ODE"
40,0.512233041636955,"ODE"
41,0.509603428897748,"ODE"
42,0.506985911444548,"ODE"
43,0.504380585915906,"ODE"
44,0.501787532926192,"ODE"
45,0.499206818569921,"ODE"
46,0.496638495799445,"ODE"
47,0.494082605684687,"ODE"
48,0.49153917856408,"ODE"
49,0.48900823509447,"ODE"
50,0.486489787208032,"ODE"
51,0.483983838983136,"ODE"
52,0.481490387436668,"ODE"
53,0.479009423243721,"ODE"
54,0.476540931390997,"ODE"
55,0.474084891769172,"ODE"
56,0.471641279709952,"ODE"
57,0.469210066472192,"ODE"
58,0.466791219681822,"ODE"
59,0.46438470372939,"ODE"
60,0.461990480129422,"ODE"
61,0.459608507844737,"ODE"
62,0.457238743579107,"ODE"
63,0.454881142041025,"ODE"
64,0.452535656181469,"ODE"
65,0.450202237407963,"ODE"
66,0.447880835777224,"ODE"
67,0.445571400168371,"ODE"
68,0.443273878438663,"ODE"
69,0.440988217563385,"ODE"
70,0.438714363761426,"ODE"
71,0.436452262607907,"ODE"
72,0.434201859135231,"ODE"
73,0.431963097923581,"ODE"
74,0.429735923182004,"ODE"
75,0.427520278820923,"ODE"
76,0.425316108517036,"ODE"
77,0.423123355771284,"ODE"
78,0.420941963960645,"ODE"
79,0.418771876384325,"ODE"
80,0.416613036304965,"ODE"
81,0.414465386985338,"ODE"
82,0.412328871721028,"ODE"
83,0.410203433869476,"ODE"
84,0.408089016875776,"ODE"
85,0.405985564295577,"ODE"
86,0.403893019815367,"ODE"
87,0.40181132727042,"ODE"
88,0.399740430660666,"ODE"
89,0.397680274164667,"ODE"
90,0.395630802151945,"ODE"
91,0.3935919591938,"ODE"
92,0.391563690072782,"ODE"
93,0.389545939790985,"ODE"
94,0.387538653577269,"ODE"
95,0.38554177689352,"ODE"
96,0.383555255440061,"ODE"
97,0.381579035160324,"ODE"
98,0.379613062244815,"ODE"
99,0.377657283134492,"ODE"
100,0.37571164452362,"ODE"
